G;A;L;V
männlich;1 bis unter 15 Jahre;BN der Leber und der intrahepatischen Gallengänge;2
männlich;1 bis unter 15 Jahre;BN des Pankreas;0
männlich;1 bis unter 15 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;1
männlich;1 bis unter 15 Jahre;BN der Bronchien und der Lunge;1
männlich;1 bis unter 15 Jahre;Melanom und sonstige bösartige Neubild. der Haut;1
männlich;1 bis unter 15 Jahre;Bösartiges Melanom der Haut;1
männlich;1 bis unter 15 Jahre;BN der Brustdrüse;0
männlich;1 bis unter 15 Jahre;BN der Genital- und Harnorgane;3
männlich;1 bis unter 15 Jahre;BN der Cervix uteri;0
männlich;1 bis unter 15 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;1 bis unter 15 Jahre;BN des Ovars;0
männlich;1 bis unter 15 Jahre;BN der Prostata;0
männlich;1 bis unter 15 Jahre;BN der Niere, ausgenommen Nierenbecken;3
männlich;1 bis unter 15 Jahre;BN der Harnblase;0
männlich;1 bis unter 15 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;37
männlich;1 bis unter 15 Jahre;Leukämie;31
männlich;1 bis unter 15 Jahre;Gutartige Neubildungen;0
männlich;1 bis unter 15 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;9
männlich;1 bis unter 15 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;26
männlich;1 bis unter 15 Jahre;Diabetes mellitus;0
männlich;1 bis unter 15 Jahre;Psychische und Verhaltensstörungen;6
männlich;1 bis unter 15 Jahre;Psychische und Verhaltensstörungen durch Alkohol;0
männlich;1 bis unter 15 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;0
männlich;1 bis unter 15 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;71
männlich;1 bis unter 15 Jahre;Meningitis;1
männlich;1 bis unter 15 Jahre;Krankheiten des Kreislaufsystems;29
männlich;1 bis unter 15 Jahre;Hypertonie (Hochdruckkrankheit);1
männlich;1 bis unter 15 Jahre;Ischämische Herzkrankheiten;0
männlich;1 bis unter 15 Jahre;Akuter oder rezidivierender Myokardinfarkt;0
männlich;1 bis unter 15 Jahre;Sonstige Formen der Herzkrankheit;23
männlich;1 bis unter 15 Jahre;Sonstige Krankheiten des Endokards;1
männlich;1 bis unter 15 Jahre;Zerebrovaskuläre Krankheiten;1
männlich;1 bis unter 15 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
männlich;1 bis unter 15 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;0
männlich;1 bis unter 15 Jahre;Krankheiten des Atmungssystems;27
männlich;1 bis unter 15 Jahre;Grippe;7
männlich;1 bis unter 15 Jahre;Pneumonie;7
männlich;1 bis unter 15 Jahre;Chronische Krankheiten der unteren Atemwege;3
männlich;1 bis unter 15 Jahre;Asthma;2
männlich;1 bis unter 15 Jahre;Krankheiten des Verdauungssystems;5
männlich;1 bis unter 15 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;0
männlich;1 bis unter 15 Jahre;Krankheiten der Leber;3
männlich;1 bis unter 15 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;1
männlich;1 bis unter 15 Jahre;Krankheiten der Haut und der Unterhaut;0
männlich;1 bis unter 15 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1
männlich;1 bis unter 15 Jahre;Chronische Polyarthritis und Arthrose;0
männlich;1 bis unter 15 Jahre;Krankheiten des Urogenitalsystems;3
männlich;1 bis unter 15 Jahre;Krankheiten der Niere;3
männlich;1 bis unter 15 Jahre;Schwangerschaft, Geburt und Wochenbett;0
männlich;1 bis unter 15 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;5
männlich;1 bis unter 15 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;81
männlich;1 bis unter 15 Jahre;Angeborene Fehlbildungen des Nervensystems;19
männlich;1 bis unter 15 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;30
männlich;1 bis unter 15 Jahre;Symptome und abnorme klinische und Laborbefunde;68
männlich;1 bis unter 15 Jahre;Plötzlicher Kindstod;0
männlich;1 bis unter 15 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;60
männlich;1 bis unter 15 Jahre;Äußere Ursachen von Morbidität und Mortalität;124
männlich;1 bis unter 15 Jahre;Unfälle einschließlich Spätfolgen;93
männlich;1 bis unter 15 Jahre;Transportmittelunfälle;24
männlich;1 bis unter 15 Jahre;Stürze;17
männlich;1 bis unter 15 Jahre;Ertrinken und Untergehen;24
männlich;1 bis unter 15 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;0
männlich;1 bis unter 15 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);3
männlich;1 bis unter 15 Jahre;Vorsätzliche Selbstbeschädigung;11
männlich;1 bis unter 15 Jahre;Tätlicher Angriff;13
männlich;1 bis unter 15 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;6
männlich;15 bis unter 20 Jahre;Insgesamt;608
männlich;15 bis unter 20 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;6
männlich;15 bis unter 20 Jahre;Tuberkulose einschließlich ihrer Folgezustände;1
männlich;15 bis unter 20 Jahre;Meningokokkeninfektion;1
männlich;15 bis unter 20 Jahre;Virushepatitis;0
männlich;15 bis unter 20 Jahre;HIV-Krankheit;0
männlich;15 bis unter 20 Jahre;Neubildungen;71
männlich;15 bis unter 20 Jahre;Bösartige Neubildungen (BN);68
männlich;15 bis unter 20 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;0
männlich;15 bis unter 20 Jahre;BN des Ösophagus;0
männlich;15 bis unter 20 Jahre;BN des Magens;0
männlich;15 bis unter 20 Jahre;BN des Dickdarms;2
männlich;15 bis unter 20 Jahre;BN des Rektums, des Anus und am Rektosigmoid;0
männlich;15 bis unter 20 Jahre;BN der Leber, der Gallenwege und des Pankreas;3
männlich;15 bis unter 20 Jahre;BN der Leber und der intrahepatischen Gallengänge;3
männlich;15 bis unter 20 Jahre;BN des Pankreas;0
männlich;15 bis unter 20 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;0
männlich;15 bis unter 20 Jahre;BN der Bronchien und der Lunge;0
männlich;15 bis unter 20 Jahre;Melanom und sonstige bösartige Neubild. der Haut;1
männlich;15 bis unter 20 Jahre;Bösartiges Melanom der Haut;1
männlich;15 bis unter 20 Jahre;BN der Brustdrüse;0
männlich;15 bis unter 20 Jahre;BN der Genital- und Harnorgane;2
männlich;15 bis unter 20 Jahre;BN der Cervix uteri;0
männlich;15 bis unter 20 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;15 bis unter 20 Jahre;BN des Ovars;0
männlich;15 bis unter 20 Jahre;BN der Prostata;0
männlich;15 bis unter 20 Jahre;BN der Niere, ausgenommen Nierenbecken;0
männlich;15 bis unter 20 Jahre;BN der Harnblase;0
männlich;15 bis unter 20 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;20
männlich;15 bis unter 20 Jahre;Leukämie;12
männlich;15 bis unter 20 Jahre;Gutartige Neubildungen;0
männlich;15 bis unter 20 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;1
männlich;15 bis unter 20 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;11
männlich;15 bis unter 20 Jahre;Diabetes mellitus;2
männlich;15 bis unter 20 Jahre;Psychische und Verhaltensstörungen;11
männlich;15 bis unter 20 Jahre;Psychische und Verhaltensstörungen durch Alkohol;2
männlich;15 bis unter 20 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;8
männlich;15 bis unter 20 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;41
männlich;15 bis unter 20 Jahre;Meningitis;0
männlich;15 bis unter 20 Jahre;Krankheiten des Kreislaufsystems;27
männlich;15 bis unter 20 Jahre;Hypertonie (Hochdruckkrankheit);0
männlich;15 bis unter 20 Jahre;Ischämische Herzkrankheiten;1
männlich;15 bis unter 20 Jahre;Akuter oder rezidivierender Myokardinfarkt;1
männlich;15 bis unter 20 Jahre;Sonstige Formen der Herzkrankheit;13
männlich;15 bis unter 20 Jahre;Sonstige Krankheiten des Endokards;3
männlich;15 bis unter 20 Jahre;Zerebrovaskuläre Krankheiten;5
männlich;15 bis unter 20 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
männlich;15 bis unter 20 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;0
männlich;15 bis unter 20 Jahre;Krankheiten des Atmungssystems;4
männlich;15 bis unter 20 Jahre;Grippe;0
männlich;15 bis unter 20 Jahre;Pneumonie;1
männlich;15 bis unter 20 Jahre;Chronische Krankheiten der unteren Atemwege;0
männlich;15 bis unter 20 Jahre;Asthma;0
männlich;15 bis unter 20 Jahre;Krankheiten des Verdauungssystems;4
männlich;15 bis unter 20 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;0
männlich;15 bis unter 20 Jahre;Krankheiten der Leber;0
männlich;15 bis unter 20 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;0
männlich;15 bis unter 20 Jahre;Krankheiten der Haut und der Unterhaut;0
männlich;15 bis unter 20 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;2
männlich;15 bis unter 20 Jahre;Chronische Polyarthritis und Arthrose;0
männlich;15 bis unter 20 Jahre;Krankheiten des Urogenitalsystems;1
männlich;15 bis unter 20 Jahre;Krankheiten der Niere;0
männlich;15 bis unter 20 Jahre;Schwangerschaft, Geburt und Wochenbett;0
männlich;15 bis unter 20 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;1
männlich;15 bis unter 20 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;14
männlich;15 bis unter 20 Jahre;Angeborene Fehlbildungen des Nervensystems;2
männlich;15 bis unter 20 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;7
männlich;15 bis unter 20 Jahre;Symptome und abnorme klinische und Laborbefunde;63
männlich;15 bis unter 20 Jahre;Plötzlicher Kindstod;0
männlich;15 bis unter 20 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;60
männlich;15 bis unter 20 Jahre;Äußere Ursachen von Morbidität und Mortalität;351
männlich;15 bis unter 20 Jahre;Unfälle einschließlich Spätfolgen;204
männlich;15 bis unter 20 Jahre;Transportmittelunfälle;152
männlich;15 bis unter 20 Jahre;Stürze;2
männlich;15 bis unter 20 Jahre;Ertrinken und Untergehen;15
männlich;15 bis unter 20 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;1
männlich;15 bis unter 20 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);19
männlich;15 bis unter 20 Jahre;Vorsätzliche Selbstbeschädigung;121
männlich;15 bis unter 20 Jahre;Tätlicher Angriff;10
männlich;15 bis unter 20 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;16
männlich;20 bis unter 25 Jahre;Insgesamt;990
männlich;20 bis unter 25 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;10
männlich;20 bis unter 25 Jahre;Tuberkulose einschließlich ihrer Folgezustände;2
männlich;20 bis unter 25 Jahre;Meningokokkeninfektion;1
männlich;20 bis unter 25 Jahre;Virushepatitis;1
männlich;20 bis unter 25 Jahre;HIV-Krankheit;0
männlich;20 bis unter 25 Jahre;Neubildungen;91
männlich;20 bis unter 25 Jahre;Bösartige Neubildungen (BN);89
männlich;20 bis unter 25 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;1
männlich;20 bis unter 25 Jahre;BN des Ösophagus;0
männlich;20 bis unter 25 Jahre;BN des Magens;3
männlich;20 bis unter 25 Jahre;BN des Dickdarms;2
männlich;20 bis unter 25 Jahre;BN des Rektums, des Anus und am Rektosigmoid;1
männlich;20 bis unter 25 Jahre;BN der Leber, der Gallenwege und des Pankreas;2
männlich;20 bis unter 25 Jahre;BN der Leber und der intrahepatischen Gallengänge;2
männlich;20 bis unter 25 Jahre;BN des Pankreas;0
männlich;20 bis unter 25 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;2
männlich;20 bis unter 25 Jahre;BN der Bronchien und der Lunge;2
männlich;20 bis unter 25 Jahre;Melanom und sonstige bösartige Neubild. der Haut;4
männlich;20 bis unter 25 Jahre;Bösartiges Melanom der Haut;4
männlich;20 bis unter 25 Jahre;BN der Brustdrüse;0
männlich;20 bis unter 25 Jahre;BN der Genital- und Harnorgane;4
männlich;20 bis unter 25 Jahre;BN der Cervix uteri;0
männlich;20 bis unter 25 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;20 bis unter 25 Jahre;BN des Ovars;0
männlich;20 bis unter 25 Jahre;BN der Prostata;0
männlich;20 bis unter 25 Jahre;BN der Niere, ausgenommen Nierenbecken;0
männlich;20 bis unter 25 Jahre;BN der Harnblase;0
männlich;20 bis unter 25 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;25
männlich;20 bis unter 25 Jahre;Leukämie;22
männlich;20 bis unter 25 Jahre;Gutartige Neubildungen;1
männlich;20 bis unter 25 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;2
männlich;20 bis unter 25 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;26
männlich;20 bis unter 25 Jahre;Diabetes mellitus;4
männlich;20 bis unter 25 Jahre;Psychische und Verhaltensstörungen;13
männlich;20 bis unter 25 Jahre;Psychische und Verhaltensstörungen durch Alkohol;0
männlich;20 bis unter 25 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;7
männlich;20 bis unter 25 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;49
männlich;20 bis unter 25 Jahre;Meningitis;0
männlich;20 bis unter 25 Jahre;Krankheiten des Kreislaufsystems;42
männlich;20 bis unter 25 Jahre;Hypertonie (Hochdruckkrankheit);0
männlich;20 bis unter 25 Jahre;Ischämische Herzkrankheiten;6
männlich;20 bis unter 25 Jahre;Akuter oder rezidivierender Myokardinfarkt;4
männlich;20 bis unter 25 Jahre;Sonstige Formen der Herzkrankheit;12
männlich;20 bis unter 25 Jahre;Sonstige Krankheiten des Endokards;4
männlich;20 bis unter 25 Jahre;Zerebrovaskuläre Krankheiten;11
männlich;20 bis unter 25 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
männlich;20 bis unter 25 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;1
männlich;20 bis unter 25 Jahre;Krankheiten des Atmungssystems;10
männlich;20 bis unter 25 Jahre;Grippe;2
männlich;20 bis unter 25 Jahre;Pneumonie;2
männlich;20 bis unter 25 Jahre;Chronische Krankheiten der unteren Atemwege;1
männlich;20 bis unter 25 Jahre;Asthma;0
männlich;20 bis unter 25 Jahre;Krankheiten des Verdauungssystems;14
männlich;20 bis unter 25 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1
männlich;20 bis unter 25 Jahre;Krankheiten der Leber;4
männlich;20 bis unter 25 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;2
männlich;20 bis unter 25 Jahre;Krankheiten der Haut und der Unterhaut;0
männlich;20 bis unter 25 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;4
männlich;20 bis unter 25 Jahre;Chronische Polyarthritis und Arthrose;0
männlich;20 bis unter 25 Jahre;Krankheiten des Urogenitalsystems;3
männlich;20 bis unter 25 Jahre;Krankheiten der Niere;3
männlich;20 bis unter 25 Jahre;Schwangerschaft, Geburt und Wochenbett;0
männlich;20 bis unter 25 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;3
männlich;20 bis unter 25 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;26
männlich;20 bis unter 25 Jahre;Angeborene Fehlbildungen des Nervensystems;5
männlich;20 bis unter 25 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;9
männlich;20 bis unter 25 Jahre;Symptome und abnorme klinische und Laborbefunde;108
männlich;20 bis unter 25 Jahre;Plötzlicher Kindstod;0
männlich;20 bis unter 25 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;107
männlich;20 bis unter 25 Jahre;Äußere Ursachen von Morbidität und Mortalität;589
männlich;20 bis unter 25 Jahre;Unfälle einschließlich Spätfolgen;297
männlich;20 bis unter 25 Jahre;Transportmittelunfälle;205
männlich;20 bis unter 25 Jahre;Stürze;13
männlich;20 bis unter 25 Jahre;Ertrinken und Untergehen;15
männlich;20 bis unter 25 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;1
männlich;20 bis unter 25 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);30
männlich;20 bis unter 25 Jahre;Vorsätzliche Selbstbeschädigung;235
männlich;20 bis unter 25 Jahre;Tätlicher Angriff;10
männlich;20 bis unter 25 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;47
männlich;25 bis unter 30 Jahre;Insgesamt;1227
männlich;25 bis unter 30 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;20
männlich;25 bis unter 30 Jahre;Tuberkulose einschließlich ihrer Folgezustände;2
männlich;25 bis unter 30 Jahre;Meningokokkeninfektion;1
männlich;25 bis unter 30 Jahre;Virushepatitis;1
männlich;25 bis unter 30 Jahre;HIV-Krankheit;6
männlich;25 bis unter 30 Jahre;Neubildungen;134
männlich;25 bis unter 30 Jahre;Bösartige Neubildungen (BN);126
männlich;25 bis unter 30 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;2
männlich;25 bis unter 30 Jahre;BN des Ösophagus;0
männlich;25 bis unter 30 Jahre;BN des Magens;6
männlich;25 bis unter 30 Jahre;BN des Dickdarms;6
männlich;25 bis unter 30 Jahre;BN des Rektums, des Anus und am Rektosigmoid;4
männlich;25 bis unter 30 Jahre;BN der Leber, der Gallenwege und des Pankreas;7
männlich;25 bis unter 30 Jahre;BN der Leber und der intrahepatischen Gallengänge;4
männlich;25 bis unter 30 Jahre;BN des Pankreas;2
männlich;25 bis unter 30 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;4
männlich;25 bis unter 30 Jahre;BN der Bronchien und der Lunge;4
männlich;25 bis unter 30 Jahre;Melanom und sonstige bösartige Neubild. der Haut;5
männlich;25 bis unter 30 Jahre;Bösartiges Melanom der Haut;4
männlich;25 bis unter 30 Jahre;BN der Brustdrüse;0
männlich;25 bis unter 30 Jahre;BN der Genital- und Harnorgane;14
männlich;25 bis unter 30 Jahre;BN der Cervix uteri;0
männlich;25 bis unter 30 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;25 bis unter 30 Jahre;BN des Ovars;0
männlich;25 bis unter 30 Jahre;BN der Prostata;1
männlich;25 bis unter 30 Jahre;BN der Niere, ausgenommen Nierenbecken;1
männlich;25 bis unter 30 Jahre;BN der Harnblase;0
männlich;25 bis unter 30 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;23
männlich;25 bis unter 30 Jahre;Leukämie;15
männlich;25 bis unter 30 Jahre;Gutartige Neubildungen;2
männlich;25 bis unter 30 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;4
männlich;25 bis unter 30 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;25
männlich;25 bis unter 30 Jahre;Diabetes mellitus;11
männlich;25 bis unter 30 Jahre;Psychische und Verhaltensstörungen;38
männlich;25 bis unter 30 Jahre;Psychische und Verhaltensstörungen durch Alkohol;9
männlich;25 bis unter 30 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;23
männlich;25 bis unter 30 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;59
männlich;25 bis unter 30 Jahre;Meningitis;1
männlich;25 bis unter 30 Jahre;Krankheiten des Kreislaufsystems;71
männlich;25 bis unter 30 Jahre;Hypertonie (Hochdruckkrankheit);2
männlich;25 bis unter 30 Jahre;Ischämische Herzkrankheiten;10
männlich;25 bis unter 30 Jahre;Akuter oder rezidivierender Myokardinfarkt;6
männlich;25 bis unter 30 Jahre;Sonstige Formen der Herzkrankheit;26
männlich;25 bis unter 30 Jahre;Sonstige Krankheiten des Endokards;8
männlich;25 bis unter 30 Jahre;Zerebrovaskuläre Krankheiten;9
männlich;25 bis unter 30 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
männlich;25 bis unter 30 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;4
männlich;25 bis unter 30 Jahre;Krankheiten des Atmungssystems;15
männlich;25 bis unter 30 Jahre;Grippe;2
männlich;25 bis unter 30 Jahre;Pneumonie;7
männlich;25 bis unter 30 Jahre;Chronische Krankheiten der unteren Atemwege;2
männlich;25 bis unter 30 Jahre;Asthma;2
männlich;25 bis unter 30 Jahre;Krankheiten des Verdauungssystems;28
männlich;25 bis unter 30 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2
männlich;25 bis unter 30 Jahre;Krankheiten der Leber;13
männlich;25 bis unter 30 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11
männlich;25 bis unter 30 Jahre;Krankheiten der Haut und der Unterhaut;0
männlich;25 bis unter 30 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;7
